S No,Occupational Title,NCO 2015,NCO 2004,Division,Sub Division,Group,Family,Division Description,Sub Division Description,Group Description,Family Description,Occupation Description
759,Script Writer,2641.0601,2451.70,Professionals,"Legal, Social and Cultural Professionals","Authors, Journalists and Linguists",Authors and Related Writers,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It encompasses broad functional leadership or operational responsibility across various industries.","Legal, Social and Cultural Professionals 
This sub-division encompasses occupations that focus on specialized functional areas within legal, social and cultural professionals, emphasizing domain-specific management, supervision, or technical expertise. It includes occupations that require specialized knowledge and skills in areas such as law, social services, and cultural heritage.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to authors, journalists, and linguists' functions within organizations. It encompasses various roles that involve writing, editing, communication, and language expertise.","This family includes closely related job roles centered around authors and related writers, with shared responsibilities, tools, and work objectives. It encompasses occupations that involve creating written content, such as novels, articles, and other forms of written expression.","Script Writer (Motion Picture) is responsible for developing a detailed script plan to guide film production, breaking down the story into individual scenes and shots while considering logistical details such as location, time, costumes, and equipment. They collaborate with directors, cinematographers, and other stakeholders to ensure the script is practical, feasible, and meets artistic vision."
760,Script Researcher,2641.0602,,Professionals,"Legal, Social and Cultural Professionals","Authors, Journalists and Linguists",Authors and Related Writers,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It encompasses broad functional leadership or operational responsibility across various industries.","Legal, Social and Cultural Professionals 
This sub-division encompasses occupations that focus on specialized functional areas within legal, social and cultural professionals, emphasizing domain-specific management, supervision, or technical expertise. It includes occupations that require specialized knowledge and skills in areas such as law, social services, and cultural heritage.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to authors, journalists, and linguists' functions within organizations. It encompasses various roles that involve writing, editing, communication, and language expertise.","This family includes closely related job roles centered around authors and related writers, with shared responsibilities, tools, and work objectives. It encompasses occupations that involve creating written content, such as novels, articles, and other forms of written expression.","Conducts in-depth research to provide accurate and relevant information to scriptwriters, while also developing story outlines to identify potential scripts and stories. Utilizes research skills to gather and analyze data, and applies knowledge of storytelling principles to inform creative decisions."
761,Associate – Editorial,2641.0701,,Professionals,"Legal, Social and Cultural Professionals","Authors, Journalists and Linguists",Authors and Related Writers,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It encompasses broad functional leadership or operational responsibility across various industries.","Legal, Social and Cultural Professionals 
This sub-division encompasses occupations that focus on specialized functional areas within legal, social and cultural professionals, emphasizing domain-specific management, supervision, or technical expertise. It includes occupations that require specialized knowledge and skills in areas such as law, social services, and cultural heritage.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to authors, journalists, and linguists' functions within organizations. It encompasses various roles that involve writing, editing, communication, and language expertise.","This family includes closely related job roles centered around authors and related writers, with shared responsibilities, tools, and work objectives. It encompasses occupations that involve creating written content, such as novels, articles, and other forms of written expression.","Responsible for reviewing and editing research reports to ensure accuracy, clarity, and grammatical correctness. This role involves meticulous attention to detail to refine the content of research reports for publication."
762,Associate – Learning,2641.0801,,Professionals,"Legal, Social and Cultural Professionals","Authors, Journalists and Linguists",Authors and Related Writers,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It encompasses broad functional leadership or operational responsibility across various industries.","Legal, Social and Cultural Professionals 
This sub-division encompasses occupations that focus on specialized functional areas within legal, social and cultural professionals, emphasizing domain-specific management, supervision, or technical expertise. It includes occupations that require specialized knowledge and skills in areas such as law, social services, and cultural heritage.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to authors, journalists, and linguists' functions within organizations. It encompasses various roles that involve writing, editing, communication, and language expertise.","This family includes closely related job roles centered around authors and related writers, with shared responsibilities, tools, and work objectives. It encompasses occupations that involve creating written content, such as novels, articles, and other forms of written expression.","Designs and develops e-learning courseware, online training materials, and documents using software tools to enhance learner engagement and performance. Structures learning content to facilitate effective and performance-enhancing outcomes in a variety of settings."
763,Technical Writer – Product Documentation,2641.0901,,Professionals,"Legal, Social and Cultural Professionals","Authors, Journalists and Linguists",Authors and Related Writers,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It encompasses broad functional leadership or operational responsibility across various industries.","Legal, Social and Cultural Professionals 
This sub-division encompasses occupations that focus on specialized functional areas within legal, social and cultural professionals, emphasizing domain-specific management, supervision, or technical expertise. It includes occupations that require specialized knowledge and skills in areas such as law, social services, and cultural heritage.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to authors, journalists, and linguists' functions within organizations. It encompasses various roles that involve writing, editing, communication, and language expertise.","This family includes closely related job roles centered around authors and related writers, with shared responsibilities, tools, and work objectives. It encompasses occupations that involve creating written content, such as novels, articles, and other forms of written expression.","Technical Writer – Product Documentation is responsible for creating technical documentation, including job-aids, help documents, and training materials, to facilitate knowledge transfer between application development teams and user teams. This involves developing user guides, reference manuals, training guides, and online help content for software applications and operating systems."
764,Technical Writer – Application Development,2641.0902,,Professionals,"Legal, Social and Cultural Professionals","Authors, Journalists and Linguists",Authors and Related Writers,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It encompasses broad functional leadership or operational responsibility across various industries.","Legal, Social and Cultural Professionals 
This sub-division encompasses occupations that focus on specialized functional areas within legal, social and cultural professionals, emphasizing domain-specific management, supervision, or technical expertise. It includes occupations that require specialized knowledge and skills in areas such as law, social services, and cultural heritage.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to authors, journalists, and linguists' functions within organizations. It encompasses various roles that involve writing, editing, communication, and language expertise.","This family includes closely related job roles centered around authors and related writers, with shared responsibilities, tools, and work objectives. It encompasses occupations that involve creating written content, such as novels, articles, and other forms of written expression.","Creates technical documentation, including job-aids, help documents, and training materials, to facilitate knowledge transfer between application development teams and user teams. Develops user guides, reference manuals, training guides, and online help content for software applications, ensuring clear and concise information is presented in various formats."
765,Technical Writer – Technical Documentation/ Writing,2641.0903,,Professionals,"Legal, Social and Cultural Professionals","Authors, Journalists and Linguists",Authors and Related Writers,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It encompasses broad functional leadership or operational responsibility across various industries.","Legal, Social and Cultural Professionals 
This sub-division encompasses occupations that focus on specialized functional areas within legal, social and cultural professionals, emphasizing domain-specific management, supervision, or technical expertise. It includes occupations that require specialized knowledge and skills in areas such as law, social services, and cultural heritage.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to authors, journalists, and linguists' functions within organizations. It encompasses various roles that involve writing, editing, communication, and language expertise.","This family includes closely related job roles centered around authors and related writers, with shared responsibilities, tools, and work objectives. It encompasses occupations that involve creating written content, such as novels, articles, and other forms of written expression.","Creates technical documentation, including job-aids, help documents, and training materials, to facilitate knowledge transfer between application development teams and user teams. Develops user guides, reference manuals, training guides, online help, and operating guides for software applications. (Note: I've removed the qualification pack details as they are not relevant to the job description)"
766,"Authors, Journalists and Other Writers",2641.9900,2451.90,Professionals,"Legal, Social and Cultural Professionals","Authors, Journalists and Linguists",Authors and Related Writers,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It encompasses broad functional leadership or operational responsibility across various industries.","Legal, Social and Cultural Professionals 
This sub-division encompasses occupations that focus on specialized functional areas within legal, social and cultural professionals, emphasizing domain-specific management, supervision, or technical expertise. It includes occupations that require specialized knowledge and skills in areas such as law, social services, and cultural heritage.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to authors, journalists, and linguists' functions within organizations. It encompasses various roles that involve writing, editing, communication, and language expertise.","This family includes closely related job roles centered around authors and related writers, with shared responsibilities, tools, and work objectives. It encompasses occupations that involve creating written content, such as novels, articles, and other forms of written expression.","Authors, Journalists, and Other Writers write literary works for publication or presentation in dramatic form, as well as create content such as news articles, stories, and commentaries. They also appraise the merits of artistic productions and literary works, often communicating their findings through various media platforms."
767,News Reporter,2642.0100,2451.30,Professionals,"Legal, Social and Cultural Professionals","Authors, Journalists and Linguists",Journalists,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It encompasses broad functional leadership or operational responsibility across various industries.","Legal, Social and Cultural Professionals 
This sub-division encompasses occupations that focus on specialized functional areas within legal, social and cultural professionals, emphasizing domain-specific management, supervision, or technical expertise. It includes occupations that require specialized knowledge and skills in areas such as law, social services, and cultural heritage.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to authors, journalists, and linguists' functions within organizations. It encompasses various roles that involve writing, editing, communication, and language expertise.","This family includes closely related job roles centered around journalists, with shared responsibilities, tools, and work objectives. It encompasses occupations that involve researching, writing, and disseminating news and information to the public through various media channels.","News Reporter: Collects and reports on news by conducting interviews, attending public functions and events, and investigating matters of public interest to transmit accurate information to the Editor for publication. Responsible for gathering and writing news articles on various topics, including politics, commerce, sports, and entertainment, with some Chief Reporters also overseeing the work of other reporters."
768,Columnist,2642.0200,2451.35,Professionals,"Legal, Social and Cultural Professionals","Authors, Journalists and Linguists",Journalists,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It encompasses broad functional leadership or operational responsibility across various industries.","Legal, Social and Cultural Professionals 
This sub-division encompasses occupations that focus on specialized functional areas within legal, social and cultural professionals, emphasizing domain-specific management, supervision, or technical expertise. It includes occupations that require specialized knowledge and skills in areas such as law, social services, and cultural heritage.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to authors, journalists, and linguists' functions within organizations. It encompasses various roles that involve writing, editing, communication, and language expertise.","This family includes closely related job roles centered around journalists, with shared responsibilities, tools, and work objectives. It encompasses occupations that involve researching, writing, and disseminating news and information to the public through various media channels.","Columnist writes periodic reviews of public interest events for publication in newspapers or magazines, often incorporating interviews and observations to inform their commentary. The role involves researching and writing articles on contemporary issues, with the option to approach topics from a humorous or critical perspective."
769,Freelance Journalist,2642.0300,2451.40,Professionals,"Legal, Social and Cultural Professionals","Authors, Journalists and Linguists",Journalists,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It encompasses broad functional leadership or operational responsibility across various industries.","Legal, Social and Cultural Professionals 
This sub-division encompasses occupations that focus on specialized functional areas within legal, social and cultural professionals, emphasizing domain-specific management, supervision, or technical expertise. It includes occupations that require specialized knowledge and skills in areas such as law, social services, and cultural heritage.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to authors, journalists, and linguists' functions within organizations. It encompasses various roles that involve writing, editing, communication, and language expertise.","This family includes closely related job roles centered around journalists, with shared responsibilities, tools, and work objectives. It encompasses occupations that involve researching, writing, and disseminating news and information to the public through various media channels.","Freelance Journalist writes occasional feature articles and special reports on a variety of topics for publication in newspapers or magazines, often drawing from their own interests and expertise. This role involves contributing written content to media outlets on an as-needed basis, with the flexibility to select subjects that align with their skills and passions."
770,Commentary Writer,2642.0400,2451.45,Professionals,"Legal, Social and Cultural Professionals","Authors, Journalists and Linguists",Journalists,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It encompasses broad functional leadership or operational responsibility across various industries.","Legal, Social and Cultural Professionals 
This sub-division encompasses occupations that focus on specialized functional areas within legal, social and cultural professionals, emphasizing domain-specific management, supervision, or technical expertise. It includes occupations that require specialized knowledge and skills in areas such as law, social services, and cultural heritage.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to authors, journalists, and linguists' functions within organizations. It encompasses various roles that involve writing, editing, communication, and language expertise.","This family includes closely related job roles centered around journalists, with shared responsibilities, tools, and work objectives. It encompasses occupations that involve researching, writing, and disseminating news and information to the public through various media channels.","Commentary Writer (Motion Picture) creates written descriptions of motion picture visuals, interpreting key events and themes to enhance audience understanding. This role requires a strong literary background and the ability to infuse emotional depth into commentary that complements the mood and tempo of the film."
771,Radio Commentator,2642.0500,2451.55,Professionals,"Legal, Social and Cultural Professionals","Authors, Journalists and Linguists",Journalists,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It encompasses broad functional leadership or operational responsibility across various industries.","Legal, Social and Cultural Professionals 
This sub-division encompasses occupations that focus on specialized functional areas within legal, social and cultural professionals, emphasizing domain-specific management, supervision, or technical expertise. It includes occupations that require specialized knowledge and skills in areas such as law, social services, and cultural heritage.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to authors, journalists, and linguists' functions within organizations. It encompasses various roles that involve writing, editing, communication, and language expertise.","This family includes closely related job roles centered around journalists, with shared responsibilities, tools, and work objectives. It encompasses occupations that involve researching, writing, and disseminating news and information to the public through various media channels.","Provides live or pre-recorded commentary for national events, sports, festivals, and other significant occasions over a broadcasting system, utilizing research, interviews, and observations to deliver engaging and informative descriptions. Occupies a key role in capturing the essence of an event through clear and concise narration, often specializing in specific types of events and maintaining up-to-date knowledge of current happenings."
772,Commentator (Motion Picture),2642.0600,2451.60,Professionals,"Legal, Social and Cultural Professionals","Authors, Journalists and Linguists",Journalists,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It encompasses broad functional leadership or operational responsibility across various industries.","Legal, Social and Cultural Professionals 
This sub-division encompasses occupations that focus on specialized functional areas within legal, social and cultural professionals, emphasizing domain-specific management, supervision, or technical expertise. It includes occupations that require specialized knowledge and skills in areas such as law, social services, and cultural heritage.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to authors, journalists, and linguists' functions within organizations. It encompasses various roles that involve writing, editing, communication, and language expertise.","This family includes closely related job roles centered around journalists, with shared responsibilities, tools, and work objectives. It encompasses occupations that involve researching, writing, and disseminating news and information to the public through various media channels.","Commentator (Motion Picture) provides live or recorded commentary to explain and describe the visuals in a motion picture, using their voice and tone to match the subject matter and mood. The Commentator works closely with the Director Theatrical to dramatize the narration, infusing emotional effects that harmonize with the tempo and mood of the film's visuals."
773,Language Specialist,2643.0100,2444.10,Professionals,"Legal, Social and Cultural Professionals","Authors, Journalists and Linguists","Translators, Interpreters and Other Linguists","This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It encompasses broad functional leadership or operational responsibility across various industries.","Legal, Social and Cultural Professionals 
This sub-division encompasses occupations that focus on specialized functional areas within legal, social and cultural professionals, emphasizing domain-specific management, supervision, or technical expertise. It includes occupations that require specialized knowledge and skills in areas such as law, social services, and cultural heritage.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to authors, journalists, and linguists' functions within organizations. It encompasses various roles that involve writing, editing, communication, and language expertise.","This family includes job roles centered around translators, interpreters, and other linguists who facilitate communication across languages and cultures. They share responsibilities, tools, and work objectives in their efforts to convey meaning and facilitate understanding.","Language Specialist: Analyzes the structure and evolution of languages, tracing their origin and comparing ancient languages with modern ones to inform linguistic research and dictionary compilation. Responsible for collecting literature, deciphering writings, and preparing dictionaries in one or more Indian or foreign languages."
774,Translator,2643.0200,2444.20,Professionals,"Legal, Social and Cultural Professionals","Authors, Journalists and Linguists","Translators, Interpreters and Other Linguists","This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It encompasses broad functional leadership or operational responsibility across various industries.","Legal, Social and Cultural Professionals 
This sub-division encompasses occupations that focus on specialized functional areas within legal, social and cultural professionals, emphasizing domain-specific management, supervision, or technical expertise. It includes occupations that require specialized knowledge and skills in areas such as law, social services, and cultural heritage.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to authors, journalists, and linguists' functions within organizations. It encompasses various roles that involve writing, editing, communication, and language expertise.","This family includes job roles centered around translators, interpreters, and other linguists who facilitate communication across languages and cultures. They share responsibilities, tools, and work objectives in their efforts to convey meaning and facilitate understanding.","Translates written or printed material from one language to one or more others, ensuring accuracy and cultural context. Reviews a variety of documents, including reports, publications, journals, court judgments, and rules, to provide high-quality translations in required languages."
775,Interpreter,2643.0300,2444.30,Professionals,"Legal, Social and Cultural Professionals","Authors, Journalists and Linguists","Translators, Interpreters and Other Linguists","This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It encompasses broad functional leadership or operational responsibility across various industries.","Legal, Social and Cultural Professionals 
This sub-division encompasses occupations that focus on specialized functional areas within legal, social and cultural professionals, emphasizing domain-specific management, supervision, or technical expertise. It includes occupations that require specialized knowledge and skills in areas such as law, social services, and cultural heritage.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to authors, journalists, and linguists' functions within organizations. It encompasses various roles that involve writing, editing, communication, and language expertise.","This family includes job roles centered around translators, interpreters, and other linguists who facilitate communication across languages and cultures. They share responsibilities, tools, and work objectives in their efforts to convey meaning and facilitate understanding.","Conducts simultaneous or consecutive interpretation of spoken language to facilitate communication between individuals who speak different languages, ensuring accurate understanding of the message. May also translate written materials from one language to another as required, utilizing strong linguistic skills and attention to detail."
776,Language Translator – Software Products,2643.0401,,Professionals,"Legal, Social and Cultural Professionals","Authors, Journalists and Linguists","Translators, Interpreters and Other Linguists","This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It encompasses broad functional leadership or operational responsibility across various industries.","Legal, Social and Cultural Professionals 
This sub-division encompasses occupations that focus on specialized functional areas within legal, social and cultural professionals, emphasizing domain-specific management, supervision, or technical expertise. It includes occupations that require specialized knowledge and skills in areas such as law, social services, and cultural heritage.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to authors, journalists, and linguists' functions within organizations. It encompasses various roles that involve writing, editing, communication, and language expertise.","This family includes job roles centered around translators, interpreters, and other linguists who facilitate communication across languages and cultures. They share responsibilities, tools, and work objectives in their efforts to convey meaning and facilitate understanding.","Language Translator – Software Products is responsible for translating software products into various languages to ensure end-users can understand them effectively. This role requires a deep understanding of software languages and platforms, going beyond traditional translation skills."
777,Language Translator – IT Services,2643.0402,,Professionals,"Legal, Social and Cultural Professionals","Authors, Journalists and Linguists","Translators, Interpreters and Other Linguists","This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It encompasses broad functional leadership or operational responsibility across various industries.","Legal, Social and Cultural Professionals 
This sub-division encompasses occupations that focus on specialized functional areas within legal, social and cultural professionals, emphasizing domain-specific management, supervision, or technical expertise. It includes occupations that require specialized knowledge and skills in areas such as law, social services, and cultural heritage.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to authors, journalists, and linguists' functions within organizations. It encompasses various roles that involve writing, editing, communication, and language expertise.","This family includes job roles centered around translators, interpreters, and other linguists who facilitate communication across languages and cultures. They share responsibilities, tools, and work objectives in their efforts to convey meaning and facilitate understanding.","Language Translator – IT Services is responsible for translating software into various languages to ensure end-users can understand the content. This role requires a deep understanding of software languages and platforms, going beyond traditional translation skills."
778,"Philologists, Translators and Interpreters, Other",2643.9900,2444.90,Professionals,"Legal, Social and Cultural Professionals","Authors, Journalists and Linguists","Translators, Interpreters and Other Linguists","This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It encompasses broad functional leadership or operational responsibility across various industries.","Legal, Social and Cultural Professionals 
This sub-division encompasses occupations that focus on specialized functional areas within legal, social and cultural professionals, emphasizing domain-specific management, supervision, or technical expertise. It includes occupations that require specialized knowledge and skills in areas such as law, social services, and cultural heritage.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to authors, journalists, and linguists' functions within organizations. It encompasses various roles that involve writing, editing, communication, and language expertise.","This family includes job roles centered around translators, interpreters, and other linguists who facilitate communication across languages and cultures. They share responsibilities, tools, and work objectives in their efforts to convey meaning and facilitate understanding.","Philologists, Translators and Interpreters, Other Translate and interpret languages from one to another, analyzing the origin, development, and structure of languages, for clients not classified elsewhere in this category. This role involves linguistic expertise and communication skills to convey meaning accurately across different language groups."
779,Sculptor,2651.0100,2452.10,Professionals,"Legal, Social and Cultural Professionals",Creative and Performing Artists,Visual Artists,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It encompasses broad functional leadership or operational responsibility across various industries.","Legal, Social and Cultural Professionals 
This sub-division encompasses occupations that focus on specialized functional areas within legal, social and cultural professionals, emphasizing domain-specific management, supervision, or technical expertise. It includes occupations that require specialized knowledge and skills in areas such as law, social services, and cultural heritage.","This group consists of occupations that perform creative and performing arts functions within organizations, requiring common skill sets and similar tasks. It encompasses a range of roles that contribute to the development and presentation of artistic content.","This family includes closely related job roles centered around visual artists, with shared responsibilities, tools, and work objectives. It encompasses occupations that involve creating, designing, and communicating visual ideas through various mediums, including fine arts, graphic design, and other related fields.","Sculptor creates three-dimensional artworks from various materials, including stone, wood, and clay, using techniques such as carving, modeling, and chiseling to achieve unity and harmony. The role involves designing and crafting sculptures for various purposes, including monumental works, decorative pieces, and idols for temples, adhering to traditional methods and specifications."
780,Modeller (Except Stone),2651.0200,2452.20,Professionals,"Legal, Social and Cultural Professionals",Creative and Performing Artists,Visual Artists,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It encompasses broad functional leadership or operational responsibility across various industries.","Legal, Social and Cultural Professionals 
This sub-division encompasses occupations that focus on specialized functional areas within legal, social and cultural professionals, emphasizing domain-specific management, supervision, or technical expertise. It includes occupations that require specialized knowledge and skills in areas such as law, social services, and cultural heritage.","This group consists of occupations that perform creative and performing arts functions within organizations, requiring common skill sets and similar tasks. It encompasses a range of roles that contribute to the development and presentation of artistic content.","This family includes closely related job roles centered around visual artists, with shared responsibilities, tools, and work objectives. It encompasses occupations that involve creating, designing, and communicating visual ideas through various mediums, including fine arts, graphic design, and other related fields.","Modeller (Except Stone) creates detailed models of pottery, porcelain, and anatomical studies using clay or plaster of Paris, adhering to precise specifications for mass production. The role involves preparing materials, carving, and shaping them to exact sizes and forms using various tools, including lathes and potter's wheels."
781,Stone Modeller,2651.0300,2452.30,Professionals,"Legal, Social and Cultural Professionals",Creative and Performing Artists,Visual Artists,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It encompasses broad functional leadership or operational responsibility across various industries.","Legal, Social and Cultural Professionals 
This sub-division encompasses occupations that focus on specialized functional areas within legal, social and cultural professionals, emphasizing domain-specific management, supervision, or technical expertise. It includes occupations that require specialized knowledge and skills in areas such as law, social services, and cultural heritage.","This group consists of occupations that perform creative and performing arts functions within organizations, requiring common skill sets and similar tasks. It encompasses a range of roles that contribute to the development and presentation of artistic content.","This family includes closely related job roles centered around visual artists, with shared responsibilities, tools, and work objectives. It encompasses occupations that involve creating, designing, and communicating visual ideas through various mediums, including fine arts, graphic design, and other related fields.","Creates intricate carvings, statues, and models on stone surfaces for various architectural projects using hand tools, following detailed drawings and instructions from designers or authorities. Utilizes a range of techniques to carve, shape, and finish stone pieces, including freehand sketching, measuring instruments, and specialized tools such as chisels and saw blades."
782,"Painter, Fine Art",2651.0400,2452.40,Professionals,"Legal, Social and Cultural Professionals",Creative and Performing Artists,Visual Artists,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It encompasses broad functional leadership or operational responsibility across various industries.","Legal, Social and Cultural Professionals 
This sub-division encompasses occupations that focus on specialized functional areas within legal, social and cultural professionals, emphasizing domain-specific management, supervision, or technical expertise. It includes occupations that require specialized knowledge and skills in areas such as law, social services, and cultural heritage.","This group consists of occupations that perform creative and performing arts functions within organizations, requiring common skill sets and similar tasks. It encompasses a range of roles that contribute to the development and presentation of artistic content.","This family includes closely related job roles centered around visual artists, with shared responsibilities, tools, and work objectives. It encompasses occupations that involve creating, designing, and communicating visual ideas through various mediums, including fine arts, graphic design, and other related fields.","Painter, Fine Art paints portraits, scenery, and objects using various mediums such as oil, pastel, and watercolour on different surfaces. They prepare surfaces by applying primers and varnish finished paintings to achieve the desired effect while also touching up faded areas with matching colours."
783,"Renovator, Paintings",2651.0500,2452.50,Professionals,"Legal, Social and Cultural Professionals",Creative and Performing Artists,Visual Artists,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It encompasses broad functional leadership or operational responsibility across various industries.","Legal, Social and Cultural Professionals 
This sub-division encompasses occupations that focus on specialized functional areas within legal, social and cultural professionals, emphasizing domain-specific management, supervision, or technical expertise. It includes occupations that require specialized knowledge and skills in areas such as law, social services, and cultural heritage.","This group consists of occupations that perform creative and performing arts functions within organizations, requiring common skill sets and similar tasks. It encompasses a range of roles that contribute to the development and presentation of artistic content.","This family includes closely related job roles centered around visual artists, with shared responsibilities, tools, and work objectives. It encompasses occupations that involve creating, designing, and communicating visual ideas through various mediums, including fine arts, graphic design, and other related fields.","Renovator, Paintings restores and conserves paintings that have been damaged, soiled, or faded, using techniques such as cleaning, repairing, and retouching to return them to their original appearance. The role involves skilled work in painting restoration, including colour matching, brushwork, and canvas transfer, to revive the original shine and beauty of artworks."
784,Cartoonist,2651.0600,2452.55,Professionals,"Legal, Social and Cultural Professionals",Creative and Performing Artists,Visual Artists,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It encompasses broad functional leadership or operational responsibility across various industries.","Legal, Social and Cultural Professionals 
This sub-division encompasses occupations that focus on specialized functional areas within legal, social and cultural professionals, emphasizing domain-specific management, supervision, or technical expertise. It includes occupations that require specialized knowledge and skills in areas such as law, social services, and cultural heritage.","This group consists of occupations that perform creative and performing arts functions within organizations, requiring common skill sets and similar tasks. It encompasses a range of roles that contribute to the development and presentation of artistic content.","This family includes closely related job roles centered around visual artists, with shared responsibilities, tools, and work objectives. It encompasses occupations that involve creating, designing, and communicating visual ideas through various mediums, including fine arts, graphic design, and other related fields.","Cartoonist creates humorous or satirical cartoons and caricatures for publication, using a range of mediums including pencil, ink, and brush. The Cartoonist researches subject matter from news items, books, and events to develop ideas for sketches, which are then refined through shading and completed with captions or descriptive titles."
785,"Visual Artists, Other",2651.9900,2452.90,Professionals,"Legal, Social and Cultural Professionals",Creative and Performing Artists,Visual Artists,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It encompasses broad functional leadership or operational responsibility across various industries.","Legal, Social and Cultural Professionals 
This sub-division encompasses occupations that focus on specialized functional areas within legal, social and cultural professionals, emphasizing domain-specific management, supervision, or technical expertise. It includes occupations that require specialized knowledge and skills in areas such as law, social services, and cultural heritage.","This group consists of occupations that perform creative and performing arts functions within organizations, requiring common skill sets and similar tasks. It encompasses a range of roles that contribute to the development and presentation of artistic content.","This family includes closely related job roles centered around visual artists, with shared responsibilities, tools, and work objectives. It encompasses occupations that involve creating, designing, and communicating visual ideas through various mediums, including fine arts, graphic design, and other related fields.","Visual Artists, Other Create original artwork in various mediums, including sculpture, painting, and modeling, for exhibition or sale, while also exploring new techniques and styles within the field of visual arts. This role involves developing artistic concepts, experimenting with different materials and methods, and presenting finished pieces to audiences through exhibitions, galleries, or other public forums."
