S No,Occupational Title,NCO 2015,NCO 2004,Division,Sub Division,Group,Family,Division Description,Sub Division Description,Group Description,Family Description,Occupation Description
444,"Pathologist, Medical",2212.1700,2212.40,Professionals,Health Associate Professionals,Medical Doctors,Specialist Medical Practitioners,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within health associate professionals, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to medical doctors functions within organizations.","This family includes closely related job roles centered around specialist medical practitioners, with shared responsibilities, tools, and work objectives.","A Pathologist, Medical performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
445,Dermatologist,2212.0200,2221.40,Professionals,Health Associate Professionals,Medical Doctors,Specialist Medical Practitioners,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within health associate professionals, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to medical doctors functions within organizations.","This family includes closely related job roles centered around specialist medical practitioners, with shared responsibilities, tools, and work objectives.","A Dermatologist performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
446,"Malariologist, Medical",2212.1800,2212.45,Professionals,Health Associate Professionals,Medical Doctors,Specialist Medical Practitioners,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within health associate professionals, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to medical doctors functions within organizations.","This family includes closely related job roles centered around specialist medical practitioners, with shared responsibilities, tools, and work objectives.","A Malariologist, Medical performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
447,Allergy Specialist,2212.0300,2221.42,Professionals,Health Associate Professionals,Medical Doctors,Specialist Medical Practitioners,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within health associate professionals, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to medical doctors functions within organizations.","This family includes closely related job roles centered around specialist medical practitioners, with shared responsibilities, tools, and work objectives.","A Allergy Specialist performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
448,"Physiologist, Medical",2212.1900,2212.50,Professionals,Health Associate Professionals,Medical Doctors,Specialist Medical Practitioners,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within health associate professionals, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to medical doctors functions within organizations.","This family includes closely related job roles centered around specialist medical practitioners, with shared responsibilities, tools, and work objectives.","A Physiologist, Medical performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
449,"Ear, Nose and Throat Specialist",2212.0400,2221.45,Professionals,Health Associate Professionals,Medical Doctors,Specialist Medical Practitioners,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within health associate professionals, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to medical doctors functions within organizations.","This family includes closely related job roles centered around specialist medical practitioners, with shared responsibilities, tools, and work objectives.","A Ear, Nose and Throat Specialist performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
450,"Specialist Medical Practitioners, Other",2212.9900,2212.90,Professionals,Health Associate Professionals,Medical Doctors,Specialist Medical Practitioners,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within health associate professionals, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to medical doctors functions within organizations.","This family includes closely related job roles centered around specialist medical practitioners, with shared responsibilities, tools, and work objectives.","A Specialist Medical Practitioners, Other performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
451,Cardiologist,2212.0500,2221.50,Professionals,Health Associate Professionals,Medical Doctors,Specialist Medical Practitioners,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within health associate professionals, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to medical doctors functions within organizations.","This family includes closely related job roles centered around specialist medical practitioners, with shared responsibilities, tools, and work objectives.","A Cardiologist performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
452,Radiologist,2212.0600,2221.55,Professionals,Health Associate Professionals,Medical Doctors,Specialist Medical Practitioners,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within health associate professionals, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to medical doctors functions within organizations.","This family includes closely related job roles centered around specialist medical practitioners, with shared responsibilities, tools, and work objectives.","A Radiologist performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
453,Tuberculosis Specialist,2212.0700,2221.60,Professionals,Health Associate Professionals,Medical Doctors,Specialist Medical Practitioners,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within health associate professionals, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to medical doctors functions within organizations.","This family includes closely related job roles centered around specialist medical practitioners, with shared responsibilities, tools, and work objectives.","A Tuberculosis Specialist performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
454,Ophthalmologist,2212.0800,2221.65,Professionals,Health Associate Professionals,Medical Doctors,Specialist Medical Practitioners,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within health associate professionals, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to medical doctors functions within organizations.","This family includes closely related job roles centered around specialist medical practitioners, with shared responsibilities, tools, and work objectives.","A Ophthalmologist performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
455,Urologist,2212.0900,2221.68,Professionals,Health Associate Professionals,Medical Doctors,Specialist Medical Practitioners,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within health associate professionals, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to medical doctors functions within organizations.","This family includes closely related job roles centered around specialist medical practitioners, with shared responsibilities, tools, and work objectives.","A Urologist performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
456,Venereologist,2212.1000,2221.70,Professionals,Health Associate Professionals,Medical Doctors,Specialist Medical Practitioners,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within health associate professionals, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to medical doctors functions within organizations.","This family includes closely related job roles centered around specialist medical practitioners, with shared responsibilities, tools, and work objectives.","A Venereologist performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
457,Obstetrician,2212.1100,2221.75,Professionals,Health Associate Professionals,Medical Doctors,Specialist Medical Practitioners,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within health associate professionals, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to medical doctors functions within organizations.","This family includes closely related job roles centered around specialist medical practitioners, with shared responsibilities, tools, and work objectives.","A Obstetrician performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
458,Gynaecologist,2212.1200,2221.78,Professionals,Health Associate Professionals,Medical Doctors,Specialist Medical Practitioners,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within health associate professionals, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to medical doctors functions within organizations.","This family includes closely related job roles centered around specialist medical practitioners, with shared responsibilities, tools, and work objectives.","A Gynaecologist performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
459,"Nurse, Specialist",2221.0100,2230.10,Professionals,Health Associate Professionals,Nursing and Midwifery Professionals,Nursing Professionals,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within health associate professionals, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to nursing and midwifery professionals functions within organizations.","This family includes closely related job roles centered around nursing professionals, with shared responsibilities, tools, and work objectives.","A Nurse, Specialist performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
460,"Professional Nurses, Other",2221.9900,2230.90,Professionals,Health Associate Professionals,Nursing and Midwifery Professionals,Nursing Professionals,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within health associate professionals, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to nursing and midwifery professionals functions within organizations.","This family includes closely related job roles centered around nursing professionals, with shared responsibilities, tools, and work objectives.","A Professional Nurses, Other performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
461,"Physician, Ayurvedic",2230.0100,2222.10,Professionals,Health Associate Professionals,Traditional and Complementary Medicine Professionals,Traditional and Complementary Medicine Professionals,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within health associate professionals, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to traditional and complementary medicine professionals functions within organizations.","This family includes closely related job roles centered around traditional and complementary medicine professionals, with shared responsibilities, tools, and work objectives.","A Physician, Ayurvedic performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
462,"Physician, Homeopathic",2230.0200,2223.10,Professionals,Health Associate Professionals,Traditional and Complementary Medicine Professionals,Traditional and Complementary Medicine Professionals,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within health associate professionals, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to traditional and complementary medicine professionals functions within organizations.","This family includes closely related job roles centered around traditional and complementary medicine professionals, with shared responsibilities, tools, and work objectives.","A Physician, Homeopathic performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
463,"Physician, Bio-Chemic/Bio Chemist",2230.0300,2223.20,Professionals,Health Associate Professionals,Traditional and Complementary Medicine Professionals,Traditional and Complementary Medicine Professionals,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within health associate professionals, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to traditional and complementary medicine professionals functions within organizations.","This family includes closely related job roles centered around traditional and complementary medicine professionals, with shared responsibilities, tools, and work objectives.","A Physician, Bio-Chemic/Bio Chemist performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
464,"Physician, Unani",2230.0400,2224.10,Professionals,Health Associate Professionals,Traditional and Complementary Medicine Professionals,Traditional and Complementary Medicine Professionals,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within health associate professionals, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to traditional and complementary medicine professionals functions within organizations.","This family includes closely related job roles centered around traditional and complementary medicine professionals, with shared responsibilities, tools, and work objectives.","A Physician, Unani performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
465,"Traditional Medicine Practitioners, Other",2230.9900,3241.90,Professionals,Health Associate Professionals,Traditional and Complementary Medicine Professionals,Traditional and Complementary Medicine Professionals,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within health associate professionals, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to traditional and complementary medicine professionals functions within organizations.","This family includes closely related job roles centered around traditional and complementary medicine professionals, with shared responsibilities, tools, and work objectives.","A Traditional Medicine Practitioners, Other performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
466,Dresser,2240.0400,3221.40,Professionals,Health Associate Professionals,Paramedical Practitioners,Paramedical Practitioners,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within health associate professionals, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to paramedical practitioners functions within organizations.","This family includes closely related job roles centered around paramedical practitioners, with shared responsibilities, tools, and work objectives.","A Dresser performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
467,Emergency Medical Technician – Basic,2240.0501,,Professionals,Health Associate Professionals,Paramedical Practitioners,Paramedical Practitioners,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within health associate professionals, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to paramedical practitioners functions within organizations.","This family includes closely related job roles centered around paramedical practitioners, with shared responsibilities, tools, and work objectives.","A Emergency Medical Technician – Basic performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
468,Emergency Medical Technician – Advanced,2240.0502,,Professionals,Health Associate Professionals,Paramedical Practitioners,Paramedical Practitioners,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within health associate professionals, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to paramedical practitioners functions within organizations.","This family includes closely related job roles centered around paramedical practitioners, with shared responsibilities, tools, and work objectives.","A Emergency Medical Technician – Advanced performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
469,"Paramedical Practitioners, Other",2240.9900,,Professionals,Health Associate Professionals,Paramedical Practitioners,Paramedical Practitioners,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within health associate professionals, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to paramedical practitioners functions within organizations.","This family includes closely related job roles centered around paramedical practitioners, with shared responsibilities, tools, and work objectives.","A Paramedical Practitioners, Other performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
470,"Laboratory Assistant, Clinical",2240.0100,3221.10,Professionals,Health Associate Professionals,Paramedical Practitioners,Paramedical Practitioners,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within health associate professionals, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to paramedical practitioners functions within organizations.","This family includes closely related job roles centered around paramedical practitioners, with shared responsibilities, tools, and work objectives.","A Laboratory Assistant, Clinical performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
471,Animal Pathologist,2250.0100,2212.60,Professionals,Health Associate Professionals,Veterinarians,Veterinarians,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within health associate professionals, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to veterinarians functions within organizations.","This family includes closely related job roles centered around veterinarians, with shared responsibilities, tools, and work objectives.","A Animal Pathologist performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
472,"Veterinarian, General",2250.0200,2226.10,Professionals,Health Associate Professionals,Veterinarians,Veterinarians,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within health associate professionals, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to veterinarians functions within organizations.","This family includes closely related job roles centered around veterinarians, with shared responsibilities, tools, and work objectives.","A Veterinarian, General performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
473,"Veterinarian, Surgeon",2250.0300,2226.20,Professionals,Health Associate Professionals,Veterinarians,Veterinarians,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within health associate professionals, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to veterinarians functions within organizations.","This family includes closely related job roles centered around veterinarians, with shared responsibilities, tools, and work objectives.","A Veterinarian, Surgeon performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
474,Animal Genetist,2250.0400,2226.30,Professionals,Health Associate Professionals,Veterinarians,Veterinarians,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within health associate professionals, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to veterinarians functions within organizations.","This family includes closely related job roles centered around veterinarians, with shared responsibilities, tools, and work objectives.","A Animal Genetist performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
475,Zoo Veterinarian,2250.0500,2226.40,Professionals,Health Associate Professionals,Veterinarians,Veterinarians,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within health associate professionals, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to veterinarians functions within organizations.","This family includes closely related job roles centered around veterinarians, with shared responsibilities, tools, and work objectives.","A Zoo Veterinarian performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
476,"Veterinarian, Poultry",2250.0600,2226.50,Professionals,Health Associate Professionals,Veterinarians,Veterinarians,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within health associate professionals, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to veterinarians functions within organizations.","This family includes closely related job roles centered around veterinarians, with shared responsibilities, tools, and work objectives.","A Veterinarian, Poultry performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
477,"Veterinarians, Other",2250.9900,2226.90,Professionals,Health Associate Professionals,Veterinarians,Veterinarians,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within health associate professionals, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to veterinarians functions within organizations.","This family includes closely related job roles centered around veterinarians, with shared responsibilities, tools, and work objectives.","A Veterinarians, Other performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
478,Paediatric Dentist,2261.0600,2225.60,Professionals,Health Associate Professionals,Other Health Professionals,Dentists,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within health associate professionals, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to other health professionals functions within organizations.","This family includes closely related job roles centered around dentists, with shared responsibilities, tools, and work objectives.","A Paediatric Dentist performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
479,"Dental Specialists, Other",2261.9900,2225.90,Professionals,Health Associate Professionals,Other Health Professionals,Dentists,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within health associate professionals, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to other health professionals functions within organizations.","This family includes closely related job roles centered around dentists, with shared responsibilities, tools, and work objectives.","A Dental Specialists, Other performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
480,Dentist,2261.0100,2225.10,Professionals,Health Associate Professionals,Other Health Professionals,Dentists,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within health associate professionals, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to other health professionals functions within organizations.","This family includes closely related job roles centered around dentists, with shared responsibilities, tools, and work objectives.","A Dentist performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
481,Oral and Maxillofacial Surgeon,2261.0200,2225.20,Professionals,Health Associate Professionals,Other Health Professionals,Dentists,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within health associate professionals, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to other health professionals functions within organizations.","This family includes closely related job roles centered around dentists, with shared responsibilities, tools, and work objectives.","A Oral and Maxillofacial Surgeon performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
482,Orthodontist,2261.0300,2225.30,Professionals,Health Associate Professionals,Other Health Professionals,Dentists,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within health associate professionals, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to other health professionals functions within organizations.","This family includes closely related job roles centered around dentists, with shared responsibilities, tools, and work objectives.","A Orthodontist performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
483,Periodontist,2261.0400,2225.40,Professionals,Health Associate Professionals,Other Health Professionals,Dentists,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within health associate professionals, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to other health professionals functions within organizations.","This family includes closely related job roles centered around dentists, with shared responsibilities, tools, and work objectives.","A Periodontist performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
484,Prosthodontist,2261.0500,2225.50,Professionals,Health Associate Professionals,Other Health Professionals,Dentists,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within health associate professionals, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to other health professionals functions within organizations.","This family includes closely related job roles centered around dentists, with shared responsibilities, tools, and work objectives.","A Prosthodontist performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
485,"Chemist, Pharmaceuticals",2262.0100,2113.70,Professionals,Health Associate Professionals,Other Health Professionals,Pharmacists,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to professionals. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within health associate professionals, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to other health professionals functions within organizations.","This family includes closely related job roles centered around pharmacists, with shared responsibilities, tools, and work objectives.","A Chemist, Pharmaceuticals performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
